source_url,target_url,status_code,preserve_query_string,subpath_matching
hellomycab.com/jaipur-to-bundi-one-way-taxi/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-bundi-one-way-taxi,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-kota-one-way-taxi/,https://www.hellomycabs.com/jaipur-to-kota-cab,301,false,false
hellomycab.com/jaipur-to-kota-one-way-taxi,https://www.hellomycabs.com/jaipur-to-kota-cab,301,false,false
hellomycab.com/jaipur-to-jhalawar-one-way-taxi/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-jhalawar-one-way-taxi,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-malpura/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-malpura,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-dewali/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-dewali,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-manhorpur/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-manhorpur,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-kotputli/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-kotputli,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-alwar/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-alwar,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-bharatpur-taxi/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-bharatpur-taxi,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-dholpur/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-dholpur,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-dausa-taxi/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-dausa-taxi,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-behror/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-behror,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-sikar/,https://www.hellomycabs.com/jaipur-to-sikar-cab,301,false,false
hellomycab.com/jaipur-to-sikar,https://www.hellomycabs.com/jaipur-to-sikar-cab,301,false,false
hellomycab.com/jaipur-to-khatushyamji/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-khatushyamji,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-chomu-taxi/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-chomu-taxi,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-bikaner-taxi/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-bikaner-taxi,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-jodhpur/,https://www.hellomycabs.com/jaipur-to-jodhpur-cab,301,false,false
hellomycab.com/jaipur-to-jodhpur,https://www.hellomycabs.com/jaipur-to-jodhpur-cab,301,false,false
hellomycab.com/jaipur-to-pali/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-pali,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
